title,release_date,platforms,genres
Aaahh!!! Real Monsters,1995-08-15,"PlayStation, Super Nintendo Entertainment System",action game
Aaargh!,1987-01-01,"Amstrad CPC, Apple IIGS, Arcadia Systems, Atari ST, Classic Mac OS, Commodore 64, DOS, MSX, ZX Spectrum",action game
Abyss,1984-01-01,"Commodore 64, ZX Spectrum",adventure video game
Ace Attorney Investigations 2: Prosecutor's Gambit,2011-02-03,"Nintendo DS, iOS","adventure video game, visual novel"
Ace Combat 5: The Unsung War,2004-10-21,PlayStation 4,"combat flight simulator game, flight simulation video game"
Ace Combat 6: Fires of Liberation,2007-10-23,Xbox One,combat flight simulator game
Ace Combat X: Skies of Deception,2006-10-24,PlayStation Portable,arcade
Ace Combat: Joint Assault,2010-08-26,PlayStation Portable,combat flight simulator game
Ace Online,2006-05-26,Microsoft Windows,"massively multiplayer online game, science fiction video game"
Ace of Aces,1986-01-01,"Amstrad CPC, Atari 7800, Commodore 64, DOS, MSX, ZX Spectrum",flight simulation video game
Ace of Spades,2012-12-12,"Microsoft Windows, macOS","first-person shooter, sandbox game"
Aces of the Deep,1994-01-01,"DOS, Microsoft Windows",submarine simulator
Aces of the Pacific,1992-01-01,"DOS, Microsoft Windows",combat flight simulator game
"Achtung, die Kurve!",1995-01-01,DOS,strategy video game
Acme Animation Factory,1994-01-01,Super Nintendo Entertainment System,educational video game
Act of War: Direct Action,2005-03-15,Microsoft Windows,real-time strategy
ActRaiser,1990-12-16,"Nintendo Super System, Super Nintendo Entertainment System, Wii, mobile phone","action game, city-building game, god game, platformer"
Actionloop,2006-03-02,"Nintendo DS, Wii",puzzle video game
Addiction Pinball,1998-01-01,Microsoft Windows,pinball video game
Advance Wars,2001-01-01,Wii U,turn-based tactics
Advent Rising,2005-05-31,"IBM PC compatible, Microsoft Windows","action game, action-adventure game, space opera video game, third-person shooter"
Adventure,1980-01-01,Atari 2600,action-adventure game
Adventure Construction Set,,"Apple IIGS, Commodore 64, DOS",adventure video game
Adventure Island,1986-09-12,"Game Boy, MSX, Nintendo Entertainment System, Nintendo GameCube, PlayStation 4",platformer
Adventure Island II,1991-02-01,"Game Boy, Nintendo Entertainment System",platformer
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,2012-11-20,"Nintendo 3DS, Nintendo DS",Metroidvania
Adventureland,1978-01-01,"Commodore 64, Commodore VIC-20, TRS-80 Model I, ZX Spectrum",adventure video game
Adventures of Lolo,1989-04-01,Nintendo Entertainment System,puzzle video game
Adventures of Lolo 2,1990-01-06,"Nintendo Entertainment System, Wii U",puzzle video game
Adventures of Yogi Bear,1994-10-01,"PlayStation, Super Nintendo Entertainment System",platformer
Aerobiz Supersonic,1993-04-02,"PlayStation, Super Nintendo Entertainment System",business simulation game
Aether,2008-09-03,Unknown,"adventure video game, puzzle video game"
After Burner,1987-07-17,arcade video game,shoot 'em up
Afterlife,1996-05-31,"Classic Mac OS, DOS, Microsoft Windows, macOS",god game
Agatha Christie: Evil Under the Sun,2007-10-16,"Microsoft Windows, Wii",adventure video game
Age of Conan,2008-05-20,Microsoft Windows,sword and sorcery
Age of Empires,1997-10-15,"Classic Mac OS, Microsoft Windows, macOS","historical video game, real-time strategy"
Age of Empires II: The Age of Kings,1999-09-27,"Microsoft Windows, PlayStation 4","historical video game, real-time strategy"
Age of Empires III,2009-04-30,"Microsoft Windows, N-Gage, Windows Mobile, macOS",real-time strategy
Age of Empires Online,2011-08-16,Microsoft Windows,massively multiplayer online real-time strategy game
Age of Mythology,2002-10-31,"Classic Mac OS, Microsoft Windows, macOS",real-time strategy
Age of Pirates: Caribbean Tales,2006-09-12,Microsoft Windows,role-playing video game
Age of Wanderer,2003-02-01,Microsoft Windows,beat 'em up
Age of Wonders,1999-10-31,Microsoft Windows,"strategy video game, turn-based strategy video game"
Age of Wonders: Shadow Magic,2003-07-25,Microsoft Windows,turn-based strategy video game
Agony,1992-01-01,Unknown,shoot 'em up
Ai Senshi Nicol,1987-04-24,Famicom Disk System,action-adventure game
Ai Sp@ce,2008-10-15,Microsoft Windows,Unknown
Aidyn Chronicles: The First Mage,2001-03-14,Nintendo 64,role-playing video game
Aion,2008-11-25,Microsoft Windows,massively multiplayer online role-playing game
Air,2000-09-08,"Microsoft Windows, PlayStation 4, PlayStation Portable, iOS","eroge, romance adventure game, visual novel"
Air Buster,1990-01-01,"PlayStation, TurboGrafx-16, arcade video game",shooter game
Air Fortress,1987-08-17,Nintendo Entertainment System,shooter game
Air-Sea Battle,1977-09-01,Atari 2600,fixed shooter
Airborne Ranger,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Microsoft Windows, ZX Spectrum","action game, simulation video game, stealth game, strategy video game"
Airfix Dogfighter,2000-01-14,Microsoft Windows,"action game, combat flight simulator game"
Airline Tycoon,1998-08-01,"Microsoft Windows, macOS",business simulation game
Airport Mania,2010-11-29,"Microsoft Windows, iOS, macOS",time management video game
Airport Tycoon,2000-04-25,Microsoft Windows,business simulation game
Aiyoku no Eustia,2011-04-28,"Microsoft Windows, PlayStation Vita","eroge, romance adventure game, visual novel"
Akai Ito,2004-10-21,PlayStation 4,"LGBT-themed video game, adventure video game, horror video game, visual novel, yuri, yuri game"
Akalabeth: World of Doom,1979-01-01,"Apple II series, Commodore 64, DOS, iOS",role-playing video game
Akane Maniax,,Microsoft Windows,"adventure video game, mecha video game"
Akaneiro ni Somaru Saka,2007-01-01,"Microsoft Windows, PlayStation 4, PlayStation Portable","bishōjo game, eroge, harem, romance adventure game, visual novel"
Akinator,2007-01-01,"BlackBerry, Microsoft Windows, Windows Phone, iOS, macOS, web browser",trivia video game
Akuma-kun,1989-01-01,Nintendo Entertainment System,role-playing video game
Albert Odyssey: Legend of Eldean,1996-08-09,Unknown,role-playing video game
Albion,1996-08-31,DOS,"role-playing video game, science fiction video game"
Alchemist,1983-01-01,"Microsoft Windows, ZX Spectrum",action-adventure game
Alchemy,2001-08-29,"Microsoft Windows, macOS",puzzle video game
Aleste,1988-02-29,MSX,shoot 'em up
Alex Kidd BMX Trial,1987-11-15,Unknown,racing video game
Alex Kidd in Miracle World,1986-11-01,Unknown,platformer
Alex Kidd in Shinobi World,1990-01-01,Unknown,"crossover fiction, platformer"
Alex Kidd: The Lost Stars,1986-01-01,arcade video game,platformer
Alexander,2004-11-23,Microsoft Windows,"historical video game, real-time strategy"
Alias,2004-02-04,"Microsoft Windows, PlayStation 4",action-adventure game
Alice in the Country of Hearts,2007-02-14,"Microsoft Windows, PlayStation 4","adventure video game, harem, visual novel"
Alien Breed 3D,1995-01-01,"Amiga 1200, Amiga CD32","first-person shooter, science fiction video game"
Alien Breed II: The Horror Continues,1993-01-01,"Amiga 1200, Amiga CD32","action game, science fiction video game"
Alien Breed: Tower Assault,1994-01-01,"Amiga 1200, Amiga CD32, DOS","action game, science fiction video game"
Alien Soldier,1995-02-24,"Microsoft Windows, PlayStation, macOS",action game
Alien Trilogy,1996-05-31,"DOS, PlayStation 2","first-person shooter, science fiction video game"
Alien vs Predator,1994-10-20,Atari Jaguar,first-person shooter
Alien vs. Predator,1994-05-20,arcade video game,"arcade, beat 'em up"
Aliens Versus Predator,1999-04-30,"Microsoft Windows, macOS",first-person shooter
Aliens vs. Predator,2010-02-16,"Microsoft Windows, PlayStation 3, Xbox One",first-person shooter
Aliens vs. Predator: Extinction,2003-07-30,PlayStation 4,real-time strategy
Aliens vs. Predator: Requiem,2007-11-13,PlayStation Portable,action game
All Night Nippon Super Mario Bros.,1986-12-01,Famicom Disk System,platformer
All or Nothing,,ZX Spectrum,action-adventure game
Allegiance,2000-03-16,Microsoft Windows,"real-time strategy, space simulator"
Alliance of Valiant Arms,2010-11-17,Microsoft Windows,first-person shooter
Alligator Hunt,1994-01-01,arcade video game,shoot 'em up
Allods Online,2016-06-03,Microsoft Windows,fantasy video game
Alone in the Dark,2008-11-18,"PlayStation 3, PlayStation 4, Wii, Xbox One",survival horror
Alpha Protocol,2010-05-27,"Microsoft Windows, PlayStation 3, Xbox One","action role-playing game, role-playing video game"
Altered Beast,1988-11-27,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, Microsoft Windows, Nintendo Entertainment System, PlayStation, PlayStation Portable, TurboGrafx-16, Xbox One, ZX Spectrum, arcade video game, iOS, macOS","beat 'em up, platformer"
Altitude,2009-05-01,"Microsoft Windows, macOS",action game
Alundra,1997-04-11,"PlayStation 2, PlayStation Portable",action-adventure game
Alvin and the Chipmunks,2007-12-04,"Microsoft Windows, Nintendo DS, PlayStation 4, Wii",music video game
Amagami,2009-03-19,"PlayStation 4, PlayStation Vita",harem
Amagon,1988-12-02,Nintendo Entertainment System,platformer
Amaurote,1987-01-01,"Amstrad CPC, Commodore 64, MSX, ZX Spectrum",action game
Amazing Tater,1991-08-02,Game Boy,puzzle video game
Amazon,1984-01-01,"Classic Mac OS, Commodore 64, DOS, MSX",interactive fiction
Ambermoon,1993-01-01,Unknown,role-playing video game
Amberstar,1992-01-01,"Atari ST, DOS",role-playing video game
American Conquest,2003-02-05,Microsoft Windows,real-time strategy
American Gladiators,1991-01-01,"Nintendo Entertainment System, PlayStation, Super Nintendo Entertainment System",sports video game
American McGee's Alice,2000-12-05,"Classic Mac OS, Microsoft Windows, PlayStation 3, Xbox One, macOS","psychological horror fiction, third-person shooter"
Amerzone,1999-10-18,"Classic Mac OS, Microsoft Windows, PlayStation 2, iOS, macOS","Myst-like, adventure video game"
Amnesia: Memories,2011-08-18,"Microsoft Windows, PlayStation Portable, PlayStation Vita, iOS","otome game, visual novel"
Amnesia: The Dark Descent,2010-09-08,"Microsoft Windows, macOS",psychological horror fiction
Amnios,1991-01-01,Unknown,shoot 'em up
Anachronox,2001-06-29,Microsoft Windows,"cyberpunk video game, role-playing video game, science fiction video game"
Anarchy Online,2001-06-27,Microsoft Windows,"massively multiplayer online role-playing game, science fiction video game"
Ancient Domains of Mystery,1994-01-01,"BeOS, DOS, FreeBSD, Mac operating system, Microsoft Windows, OpenBSD, Raspberry Pi, macOS","roguelike, role-playing video game"
Ancient Wars: Sparta,2007-04-20,Microsoft Windows,"historical video game, real-time strategy"
And Yet It Moves,2009-04-02,"Microsoft Windows, Wii, iOS, macOS",puzzle-platformer
Android Nim,1978-01-01,"Commodore PET, Microsoft Windows, TRS-80 Model I",Unknown
Angband,1990-01-01,"Classic Mac OS, DOS, Microsoft Windows, macOS",roguelike
Angel's Feather,2003-04-25,"Microsoft Windows, PlayStation 4","Boys' Love game, visual novel"
Angelique,1994-09-23,"Microsoft Windows, Nintendo DS, PlayStation 2, Super Nintendo Entertainment System","otome game, visual novel"
Angler,1983-01-01,ZX Spectrum,"fishing video game, sports video game"
Animal Crossing: City Folk,2008-11-16,Wii,life simulation game
Animal Crossing: New Leaf,2012-11-08,Nintendo 3DS,"Christmas video game, life simulation game"
Animal Crossing: Wild World,2005-11-23,"Nintendo DS, Wii U",social simulation game
Ankh,2005-11-04,Microsoft Windows,adventure video game
Ankh: Battle of the Gods,2010-03-02,"Microsoft Windows, macOS",adventure video game
Ankh: Heart of Osiris,2006-01-01,"Microsoft Windows, macOS",adventure video game
Anno 1404,2009-06-23,Microsoft Windows,"business simulation game, city-building game, real-time strategy"
Anno 1503,2003-04-04,Microsoft Windows,real-time strategy
Anno 1602,1998-09-24,Microsoft Windows,real-time strategy
Anno 1701,2006-10-26,Microsoft Windows,real-time strategy
Anno 1701: Dawn of Discovery,2007-06-08,Nintendo DS,real-time strategy
Anno 2070,2011-11-17,Microsoft Windows,"city-building game, post-apocalyptic video game, real-time strategy, science fiction video game"
Annoying Orange: Kitchen Carnage,2011-04-07,iOS,action game
Anomaly: Warzone Earth,2011-04-08,"Microsoft Windows, iOS, macOS",real-time strategy
Another Century's Episode Portable,2011-01-13,PlayStation Portable,"action game, action-adventure game"
Another Code: Two Memories,2005-02-24,Nintendo DS,"adventure video game, visual novel"
Another World,1991-01-01,"3DO, Apple IIGS, Atari Jaguar, Atari ST, Classic Mac OS, DOS, Microsoft Windows, PlayStation, Super Nintendo Entertainment System, Symbian, Windows Mobile, iOS, macOS","action-adventure game, cinematic platformer, science fiction video game"
Ant Attack,1983-01-01,"Commodore 64, ZX Spectrum",action game
AntMe!,,Microsoft Windows,serious game
Antarctic Adventure,1983-01-01,"ColecoVision, MSX, Nintendo Entertainment System",racing video game
Anubis II,2005-07-14,"Microsoft Windows, PlayStation 4, Wii",action game
Anvil of Dawn,1995-10-31,DOS,"adventure video game, dungeon crawl, role-playing video game"
Ape Escape,1999-05-31,"PlayStation 2, PlayStation Portable",platformer
Appleseed EX,2007-02-15,PlayStation 4,"action game, action-adventure game, beat 'em up, third-person shooter"
Aquaria,2007-12-07,"Microsoft Windows, iOS, macOS",Metroidvania
Arcade Pool,1994-01-01,"Amiga 1200, Amiga CD32, DOS",pool video game
Arcana,1992-03-27,Super Nintendo Entertainment System,"role-playing video game, turn-based Japanese role-playing game"
Arcana Famiglia,2011-10-27,"PlayStation Portable, PlayStation Vita","otome game, visual novel"
Arcania,2010-10-14,"Microsoft Windows, PlayStation 3, Xbox One","action role-playing game, role-playing video game"
ArcheAge,2013-01-15,Microsoft Windows,massively multiplayer online role-playing game
Archlord,2005-03-01,Microsoft Windows,massively multiplayer online role-playing game
Archon: The Light and the Dark,1983-01-01,"Amstrad CPC, Classic Mac OS, Commodore 64, DOS, Nintendo Entertainment System, ZX Spectrum",fighting game
Ardy Lightfoot,1993-11-26,Super Nintendo Entertainment System,platformer
Arkanoid,1986-01-01,"Amstrad CPC, Apple IIGS, Atari ST, Classic Mac OS, Commodore 64, DOS, MSX, Nintendo DS, Nintendo Entertainment System, Super Nintendo Entertainment System, Wii, Xbox One, ZX Spectrum, iOS",Breakout clone
Armadillo,1991-08-09,Nintendo Entertainment System,platformer
Armalyte,1988-01-01,Commodore 64,"action game, action-adventure game"
Armed and Dangerous,2003-12-02,Microsoft Windows,"adventure video game, first-person shooter, third-person shooter"
Armies of Exigo,2004-11-30,Microsoft Windows,real-time strategy
Armored Core: For Answer,2008-03-19,"PlayStation 3, Xbox One","third-person shooter, vehicular combat game"
Armour-Geddon,1991-01-01,"Atari ST, DOS","strategy video game, vehicular combat game"
Armour-Geddon 2: Codename Hellfire,1994-01-01,Unknown,simulation video game
Army Men Advance,2001-06-11,Unknown,action game
Army Men: Major Malfunction,2006-04-14,PlayStation 4,third-person shooter
Army Men: Operation Green,2001-12-10,Unknown,shooter game
Army Men: RTS,2002-03-28,"Microsoft Windows, Nintendo GameCube, PlayStation 4",real-time strategy
Army Moves,1986-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, MSX, ZX Spectrum","action game, scrolling shooter"
Army of Two,2008-03-06,"PlayStation 3, Xbox One",third-person shooter
Arsenal of Democracy,2010-02-23,Microsoft Windows,"grand strategy wargame, real-time strategy"
Art of Fighting 2,1994-01-01,"Neo Geo, Super Nintendo Entertainment System",fighting game
Arthur to Astaroth no Nazomakaimura: Incredible Toons,1996-08-30,PlayStation 2,puzzle video game
Artificial Girl 2,2004-11-26,Microsoft Windows,dating sim
Artificial Girl 3,2007-11-30,Microsoft Windows,"dating sim, eroge"
Arx Fatalis,2002-06-28,"Mac operating system, Microsoft Windows",role-playing video game
Ascendancy,1995-01-01,"DOS, iOS","4X, science fiction video game, turn-based strategy video game"
Asda Story,2008-07-15,Microsoft Windows,"fantasy video game, massively multiplayer online role-playing game"
Ashen,2004-05-25,N-Gage,first-person shooter
Asheron's Call,1999-11-02,Microsoft Windows,massively multiplayer online role-playing game
Asphalt 5,2009-11-02,"Windows Phone, iOS",racing video game
Asphalt: Urban GT,2004-11-15,"N-Gage, Nintendo DS, iOS",racing video game
Assassin's Creed,2008-04-10,"Microsoft Windows, PlayStation 3, Xbox One","action-adventure game, historical video game, video game with LGBT character"
Assassin's Creed II,2009-11-17,"Microsoft Windows, PlayStation 3, Xbox One, macOS","action-adventure game, historical video game, stealth game, third-person shooter"
Assassin's Creed II: Discovery,2009-11-17,"Nintendo DS, iOS","action-adventure game, historical video game"
Assassin's Creed III,2012-10-30,"Java Platform, Micro Edition, Microsoft Windows, PlayStation 3, Wii U, Xbox One","action-adventure game, historical video game, stealth game"
Assassin's Creed III: Liberation,2012-10-30,"Microsoft Windows, PlayStation 3, PlayStation Vita, Xbox One","action-adventure game, historical video game, stealth game"
Assassin's Creed: Altaïr's Chronicles,2008-02-05,"Nintendo DS, Windows Phone, iOS","action-adventure game, historical video game"
Assassin's Creed: Bloodlines,2009-11-17,PlayStation Portable,"action-adventure game, historical video game"
Assassin's Creed: Revelations,2011-11-15,"Microsoft Windows, PlayStation 3, Xbox One","action-adventure game, historical video game"
Assault Rigs,1996-02-01,"Microsoft Windows, PlayStation 2",action game
Assault Suits Valken 2,1992-12-18,"PlayStation 4, Super Nintendo Entertainment System",platformer
Asterix & Obelix XXL,2004-03-19,"Microsoft Windows, Nintendo GameCube, PlayStation 4",action-adventure game
