title,release_date,platforms,genres
Digimon World DS,2006-06-15,Nintendo DS,role-playing video game
Digimon World Data Squad,2006-11-30,PlayStation 4,role-playing video game
Digital Devil Story: Megami Tensei II,1990-04-06,Nintendo Entertainment System,"cyberpunk video game, role-playing video game"
Digital Paint Paintball 2,2015-08-01,Microsoft Windows,first-person shooter
Diner Dash 2: Restaurant Rescue,2006-01-18,"Microsoft Windows, macOS","simulation video game, strategy video game"
Dink Smallwood,1998-01-01,Microsoft Windows,"action-adventure game, role-playing video game"
Dino Crisis,1999-07-01,"Microsoft Windows, PlayStation 4, PlayStation Portable",survival horror
Dino Crisis 2,2000-09-13,"Microsoft Windows, PlayStation 2",action-adventure game
Dino Master,2005-05-24,Nintendo DS,action game
Dinosaur King,2005-01-01,arcade video game,collectible card video game
Dirge of Cerberus: Final Fantasy VII,2006-01-26,PlayStation 4,"role-playing video game, third-person shooter"
Disaster Report,2002-04-25,"PlayStation 3, PlayStation 4","action-adventure game, adventure video game"
Disaster Report 4 Plus: Summer Memories,2018-11-22,Microsoft Windows,action-adventure game
Discworld,1995-01-01,"Classic Mac OS, DOS, PlayStation 2","adventure video game, point-and-click adventure"
Discworld II: Missing Presumed...!?,1996-11-30,"DOS, Microsoft Windows, PlayStation 2",adventure video game
Discworld MUD,1991-01-01,cross-platform,"MUD, fantasy comedy"
Discworld Noir,1999-07-05,"Microsoft Windows, PlayStation 2",adventure video game
Disgaea: Hour of Darkness,2003-01-30,"Microsoft Windows, Nintendo DS, PlayStation 4, PlayStation Portable",tactical role-playing game
Dishonored,2012-10-09,"Microsoft Windows, PlayStation 3, Xbox One","action-adventure game, stealth game"
Disney Magicboard Online,2007-12-10,Microsoft Windows,racing video game
Disney Sing It: Pop Hits,2009-10-06,"PlayStation 3, PlayStation 4, Wii",music video game
Disney Sports Basketball,2002-11-05,Nintendo GameCube,basketball video game
Disney's Hercules,1997-06-20,"Microsoft Windows, PlayStation 2",platformer
Disney's Kim Possible: What's the Switch?,,PlayStation 4,platformer
Disney's Villains' Revenge,1999-09-28,"Classic Mac OS, Microsoft Windows",action-adventure game
Dissidia Final Fantasy,2008-12-18,PlayStation Portable,"action role-playing game, crossover fiction, fighting game, role-playing video game"
Dive Alert,1999-08-19,Unknown,role-playing video game
Divine Divinity,2002-09-22,Microsoft Windows,"role-playing video game, video game with LGBT character"
Divinity II,2009-11-20,"Microsoft Windows, Xbox One",action role-playing game
Dizzy Panic!,1990-05-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",puzzle video game
Dizzy Prince of the Yolkfolk,1991-12-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Nintendo Entertainment System, ZX Spectrum",action-adventure game
Djibril – The Devil Angel,2007-01-01,Microsoft Windows,"eroge, hentai, magical girl, visual novel"
DoDonPachi Dai-Ou-Jou,2002-04-05,"PlayStation 4, Xbox One, arcade video game, iOS",bullet hell
Doctor Lautrec and the Forgotten Knights,2011-07-07,Nintendo 3DS,"adventure video game, puzzle video game"
Dodonpachi Resurrection,2008-05-22,"Microsoft Windows, Xbox One, arcade video game, iOS",bullet hell
Dofus,2004-09-01,"Mac operating system, Microsoft Windows, macOS",fantasy video game
Dogs of War,1989-01-01,Atari ST,run and gun
Doki Doki Majo Shinpan!,2007-07-05,Nintendo DS,"adventure video game, visual novel"
Doki! Doki! Yūenchi: Crazy Land Daisakusen,1991-08-09,Nintendo Entertainment System,action game
Dominions II: The Ascension Wars,2003-11-14,"Classic Mac OS, Microsoft Windows","fantasy video game, strategy video game, turn-based strategy video game"
Don Doko Don,1989-01-01,"Nintendo Entertainment System, TurboGrafx-16, arcade video game",action game
Don't Look Back,2017-02-23,Microsoft Windows,platformer
Donald Duck's Playground,1984-01-01,"Atari ST, Commodore 64, DOS",educational video game
Donkey Kong 3,1984-07-04,"Game & Watch series, Nintendo Entertainment System, arcade video game",shoot 'em up
Donkey Kong 64,1999-11-22,Nintendo 64,"adventure video game, collect-a-thon platformer, platformer"
Donkey Kong Barrel Blast,2007-06-28,Wii,"mascot racer, racing video game"
Donkey Kong Country,2006-12-01,"Game Boy Color, Super NES Classic Edition, Super Nintendo Entertainment System, Wii, Wii U",2D platform game
Donkey Kong Country 2: Diddy's Kong Quest,1995-11-20,"Super Nintendo Entertainment System, Virtual Console, Wii U",2D platform game
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996-12-13,"Game Boy Color, Super Nintendo Entertainment System, Wii U","2D platform game, Christmas video game"
Donkey Kong Country Returns,2010-11-21,Wii,2D platform game
Donkey Kong Jr. Math,1983-12-12,"Nintendo Entertainment System, Wii U","educational entertainment, mathematical education video game"
Donkey Kong Jungle Beat,2004-12-16,"Nintendo GameCube, Wii",platformer
Donkey Konga,2003-12-12,Nintendo GameCube,music video game
Doodle Jump,2009-04-06,"BlackBerry 10, Java Platform, Micro Edition, Nintendo 3DS, Nintendo DS, Series 30+, Symbian, Windows Phone, Xbox One, arcade video game, iOS, iPadOS",platformer
Doom 64,1997-03-31,"Microsoft Windows, Nintendo 64",first-person shooter
Doom II RPG,2009-11-23,"BlackBerry OS, Java Platform, Micro Edition, Java virtual machine, Windows Mobile, iOS","first-person shooter, role-playing video game"
Doom RPG,2005-09-13,mobile phone,"first-person shooter, role-playing video game"
Doomlord,2008-09-01,web browser,"fantasy role-playing game, role-playing video game"
Doraemon,1986-12-12,Nintendo Entertainment System,"action game, action-adventure game, shoot 'em up"
Doraemon 2: Nobita to Hikari no Shinden,1998-12-11,Nintendo 64,platformer
Doraemon 2: SOS! Otogi no Kuni,1997-02-21,PlayStation 2,"action game, platformer"
Doraemon 3: Makai no Dungeon,2000-12-14,PlayStation 2,role-playing video game
Doraemon 3: Nobita no Machi SOS!,2000-07-28,Nintendo 64,platformer
Doraemon Wii,2007-12-06,Wii,party video game
Doraemon: Giga Zombie no Gyakushū,1990-09-14,Nintendo Entertainment System,role-playing video game
Doraemon: Minna de Asobō! Minidorando,2003-07-18,Nintendo GameCube,action game
Doraemon: Nobita no Shin Makai Daibouken DS,2007-03-08,Nintendo DS,Unknown
Doraemon: Nobita to Mittsu no Seireiseki,1997-03-21,Nintendo 64,action game
Doraemon: Nobita's Dinosaur 2006 DS,2006-03-02,Nintendo DS,Unknown
Dota 2,2013-07-09,"Microsoft Windows, macOS","action game, multiplayer online battle arena, real-time strategy"
Double Dragon,1988-06-01,"Amstrad CPC, Atari 2600, Atari 7800, Atari ST, Commodore 64, DOS, Hitachi 6309, Nintendo 3DS, Nintendo Entertainment System, PlayStation, Wii U, ZX Spectrum, Zeebo, arcade video game",beat 'em up
Double Dragon 3: The Rosetta Stone,1990-05-31,"Amstrad CPC, Atari ST, Commodore 64, DOS, Game Boy, PlayStation, ZX Spectrum, arcade video game, iOS",beat 'em up
Double Dragon V: The Shadow Falls,1994-07-10,"Atari Jaguar, PlayStation, Super Nintendo Entertainment System",fighting game
Double Dribble,1987-07-24,"Commodore 64, Famicom Disk System, Nintendo Entertainment System",sports video game
Double Dribble: The Playoff Edition,1994-03-04,PlayStation,sports video game
Double Spoiler ~ Touhou Bunkachou,2010-03-14,Microsoft Windows,shoot 'em up
Dr. Drago's Madcap Chase,1995-01-01,Microsoft Windows,"board video game, strategy video game"
Dr. Mario,1990-07-27,"Game Boy, Nintendo Entertainment System, Super Nintendo Entertainment System","falling block puzzle game, puzzle video game, tile-matching video game"
Dr. Mario 64,2001-04-08,"Nintendo 64, iQue Player",puzzle video game
Draconus,1988-01-01,"Atari 8-bit family, Commodore 64, ZX Spectrum",Metroidvania
Dracula Unleashed,1993-01-01,"Classic Mac OS, Microsoft Windows, PlayStation","adventure video game, vampire video game, video game with LGBT character"
Dragon Age II,2011-03-08,"Microsoft Windows, PlayStation 3, Xbox One, macOS","action role-playing game, dark fantasy video game"
Dragon Age: Origins,2009-11-03,"Microsoft Windows, PlayStation 3, Xbox One, macOS","LGBT-themed video game, dark fantasy video game, role-playing video game, video game with LGBT character"
Dragon Ball Kai: Ultimate Butoden,2011-02-03,Nintendo DS,fighting game
Dragon Ball Z: Budokai,2002-11-02,"Nintendo GameCube, PlayStation 3, PlayStation 4, Xbox One",fighting game
Dragon Ball Z: Hyper Dimension,1996-01-01,Super Nintendo Entertainment System,fighting game
Dragon Ball Z: Shin Budokai 2,2007-01-01,PlayStation Portable,fighting game
Dragon Ball Z: Supersonic Warriors,2004-01-01,Nintendo DS,fighting game
Dragon Ball Z: Tenkaichi Tag Team,2010-09-30,PlayStation Portable,fighting game
Dragon Ball Z: Ultimate Battle 22,1995-07-28,PlayStation 2,fighting game
Dragon Ball Z: Ultimate Tenkaichi,2011-10-25,"PlayStation 3, Xbox One",fighting game
Dragon Ball: Raging Blast 2,2010-11-02,"PlayStation 3, Xbox One",fighting game
Dragon Ball: Revenge of King Piccolo,2009-07-23,Wii,platformer
Dragon Breed,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",action game
Dragon Buster,1985-01-01,"MSX, Nintendo Entertainment System, arcade video game","action role-playing game, dungeon crawl, platformer, role-playing video game"
Dragon Knight 4,1994-02-25,"DOS, Microsoft Windows, NEC PC-9800 series, PC-FX, PlayStation 2, Sharp X68000, Super Nintendo Entertainment System","eroge, tactical role-playing game, visual novel"
Dragon Power,1986-01-01,Nintendo Entertainment System,action-adventure game
Dragon Quest Characters: Torneko no Daibōken 3,2002-10-31,PlayStation 4,"roguelike, role-playing video game"
Dragon Quest III,1988-02-10,"Nintendo Entertainment System, Super Nintendo Entertainment System, Xbox Series X and Series S, iOS",role-playing video game
Dragon Quest Swords,2007-07-12,Wii,role-playing video game
Dragon Quest VIII,2004-11-27,"Nintendo 3DS, PlayStation 4, iOS","role-playing video game, turn-based Japanese role-playing game"
Dragon Quest X,2012-08-02,"Docomo Market, Microsoft Windows, Nintendo 3DS, Wii, Wii U, iOS","massively multiplayer online role-playing game, turn-based Japanese role-playing game"
DragonStrike,1990-01-01,"Commodore 64, DOS, Microsoft Windows, NEC PC-9800 series, Sharp X68000","combat flight simulator game, role-playing video game"
Dragonica,2010-01-20,"Microsoft Windows, iOS",fantasy video game
Dragonworld,1984-01-01,"Commodore 64, DOS, MSX",interactive fiction
Drakengard,2003-09-11,PlayStation 4,"action role-playing game, dark fantasy video game"
Drakensang Online,2011-08-01,Microsoft Windows,massively multiplayer online role-playing game
Drakensang: The Dark Eye,2008-08-01,Microsoft Windows,role-playing video game
Drakensang: The River of Time,2010-02-19,Microsoft Windows,role-playing video game
Drawn to Life,2007-09-10,"Nintendo DS, iOS","action-adventure game, platformer"
Dream of Mirror Online,2005-09-03,Microsoft Windows,massively multiplayer online role-playing game
DreamMix TV World Fighters,2003-12-18,"Nintendo GameCube, PlayStation 4","crossover fiction, fighting game"
Dreamfall Chapters,2014-01-01,"Microsoft Windows, macOS","LGBT-themed video game, adventure video game, cyberpunk video game, video game with LGBT character"
Dreamfall: The Longest Journey,2006-04-17,Microsoft Windows,"adventure video game, cyberpunk video game"
Dreamkiller,2009-10-12,Microsoft Windows,first-person shooter
Dreamweb,1994-01-01,"Amiga 1200, DOS","adventure video game, cyberpunk video game"
Driller,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, ZX Spectrum",puzzle video game
Driver 3,2004-06-21,"Microsoft Windows, N-Gage, PlayStation 4","driving video game, shooter game"
Driver: Parallel Lines,2006-03-14,"Microsoft Windows, PlayStation 4, Wii",racing video game
Driver: San Francisco,2011-09-01,"Microsoft Windows, PlayStation 3, Wii, Xbox One, macOS",action-adventure game
DualPenSports,2011-06-02,Nintendo 3DS,sports video game
DuckTales,1989-09-14,"Game Boy, Nintendo Entertainment System",platformer
Duke Nukem,1991-07-01,"DOS, Microsoft Windows, macOS","platformer, science fiction video game"
Duke Nukem 3D,1996-01-29,"Amiga 1200, Classic Mac OS, DOS, Microsoft Windows, Nintendo 64, PlayStation, PlayStation 2, PlayStation 3, iOS, macOS","Christmas video game, first-person shooter, science fiction video game"
Duke Nukem Forever,2011-06-10,"Microsoft Windows, PlayStation 3, Xbox One, macOS","first-person shooter, science fiction video game"
Duke Nukem II,1993-12-03,"DOS, Microsoft Windows, iOS, macOS","platformer, science fiction video game"
Duke Nukem: Land of the Babes,2000-09-19,PlayStation 2,"action-adventure game, third-person shooter"
Dune,1992-01-01,"DOS, PlayStation",adventure video game
Dune II,1992-01-01,"DOS, Microsoft Windows, PlayStation","real-time strategy, science fiction video game"
Dungeon Defenders,2011-10-18,"Microsoft Windows, PlayStation 3, Xbox One, iOS, macOS","role-playing video game, tower defense"
Dungeon Explorer: Warriors of Ancient Arts,2007-11-17,Nintendo DS,action role-playing game
Dungeon Fighter Online,2005-08-01,Microsoft Windows,beat 'em up
Dungeon Keeper,1997-06-26,"DOS, Microsoft Windows, macOS","god game, real-time strategy"
Dungeon Master,1987-01-01,"Apple II series, Apple IIGS, Atari ST, DOS, FM Towns, NEC PC-9800 series, Sharp X68000, Super Nintendo Entertainment System",role-playing video game
Dungeon Master II: The Legend of Skullkeep,1995-01-01,"Amiga 1200, Classic Mac OS, DOS, PlayStation",role-playing video game
Dungeon Siege,2002-04-05,"Microsoft Windows, macOS",role-playing video game
Dungeon Siege III,2011-06-21,"Microsoft Windows, PlayStation 3, Xbox One",action role-playing game
Dungeons,2011-01-27,Microsoft Windows,strategy video game
Dungeons & Dragons Online,2006-02-28,"Microsoft Windows, macOS",massively multiplayer online role-playing game
Dungeons & Dragons: Dragonshard,2005-09-21,Microsoft Windows,real-time strategy
Dunzhin,1982-01-01,"Commodore 64, TRS-80 Model I",role-playing video game
Dwarf Fortress,2006-08-08,Microsoft Windows,"adventure video game, construction and management simulation, roguelike, sandbox game, survival game, text-based video game"
Dynamite Cop,1999-05-27,arcade video game,beat 'em up
Dynamite Dan,1985-01-01,"Amstrad CPC, Commodore 64, MSX, ZX Spectrum",platformer
Dynasty Warriors,1997-02-28,"PlayStation 2, PlayStation Portable",hack and slash
Dynasty Warriors 5,2005-02-24,"Microsoft Windows, PlayStation 4, Xbox One","crowd-combat video game, hack and slash"
Dynasty Warriors Advance,2005-03-24,Unknown,"action game, hack and slash"
Dynasty Warriors Next,2011-12-17,PlayStation Vita,beat 'em up
Dynasty Wars,1989-07-01,"Amstrad CPC, Commodore 64, ZX Spectrum",beat 'em up
Dystopia,2005-09-10,Microsoft Windows,"cyberpunk video game, first-person shooter"
Déjà Vu,1985-09-01,"Apple IIGS, Atari ST, Classic Mac OS, Commodore 64, DOS, Game Boy Color, Microsoft Windows, NEC PC-9800 series, Nintendo Entertainment System, Windows 3.x, macOS",adventure video game
Dōkyūsei,1996-08-09,"DOS, FM Towns, Microsoft Windows, PlayStation 2, Sharp X68000, TurboGrafx-16","bishōjo game, dating sim, eroge, romance adventure game, visual novel"
Dōsei,1997-05-23,Microsoft Windows,"eroge, social simulation game, visual novel"
E-Motion,1990-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, Game Boy, ZX Spectrum","puzzle video game, strategy video game"
E.T. the Extra-Terrestrial,1982-12-01,Atari 2600,action-adventure game
ESPN SpeedWorld,1994-01-01,"PlayStation, Super Nintendo Entertainment System",racing video game
EVE Online,2003-05-06,"Microsoft Windows, macOS","massively multiplayer online game, massively multiplayer online role-playing game, role-playing video game, space flight simulation game, space opera, space opera video game, space trading and combat game"
EXperience112,2007-09-17,Microsoft Windows,"adventure video game, science fiction video game"
EZ2DJ,1999-01-01,arcade video game,music video game
EZ2Dancer,,arcade video game,music video game
Earthsiege 2,1996-01-01,Microsoft Windows,vehicle simulation game
Earthworm Jim,1994-01-01,"DOS, Game Boy, Microsoft Windows, PlayStation, PlayStation Portable, Super Nintendo Entertainment System, Windows Phone, iOS, macOS",platformer
Earthworm Jim 2,1995-01-01,"Microsoft Windows, PlayStation, PlayStation 2, Super Nintendo Entertainment System","platformer, run and gun"
Eastern Front (1941),1981-01-01,Atari 8-bit family,strategy video game
Ecco the Dolphin,1992-07-31,"Microsoft Windows, PlayStation, iOS, macOS","platformer, science fiction video game"
Ecco: The Tides of Time,1994-08-25,"Microsoft Windows, PlayStation",adventure video game
Echo Night: Beyond,2004-01-22,PlayStation 4,"psychological horror fiction, science fiction video game"
Echochrome,2008-03-19,"PlayStation 3, PlayStation Portable",puzzle video game
Eco Fighters,1993-12-01,arcade video game,shoot 'em up
"Ed, Edd n Eddy: The Mis-Edventures",2005-09-30,"Microsoft Windows, Nintendo GameCube, PlayStation 4","adventure video game, platformer"
Eddie Kidd Jump Challenge,1985-01-01,"BBC Micro, Commodore 64, MSX, ZX Spectrum",sports video game
Eden Eternal,2010-10-28,Microsoft Windows,massively multiplayer online role-playing game
Eden*,2015-01-30,Microsoft Windows,"drama anime and manga, eroge, romance anime and manga, science fiction anime and manga, science fiction video game, visual novel"
Edna & Harvey: Harvey's New Eyes,2012-10-01,"Microsoft Windows, macOS",graphic adventure game
Edna & Harvey: The Breakout,2011-02-08,Microsoft Windows,graphic adventure game
Ef: A Fairy Tale of the Two,2006-12-22,"Microsoft Windows, PlayStation 4","eroge, visual novel"
Ehrgeiz,1998-12-17,"PlayStation 2, PlayStation Portable, arcade video game",fighting game
Einhänder,1997-11-20,PlayStation 2,"post-apocalyptic video game, science fiction video game, shoot 'em up"
El Shaddai: Ascension of the Metatron,2011-04-28,"Microsoft Windows, PlayStation 3, Xbox One","action game, action-adventure game"
El Tigre: The Adventures of Manny Rivera,2007-10-29,"Nintendo DS, PlayStation 4",action game
Elasto Mania,2000-01-01,"Microsoft Windows, iOS","motorcycle simulation game, puzzle video game"
Elebits,2006-12-02,Wii,action game
Elevator Action,1985-06-28,"Amstrad CPC, Atari 2600, Commodore 64, MSX, Microsoft Windows, Nintendo Entertainment System, SG-1000, Wii U, ZX Spectrum","action game, platformer, side-scrolling video game"
Elite Beat Agents,2006-11-06,Nintendo DS,"Christmas video game, cheerleading video game, music video game"
Elsword,2007-12-27,Microsoft Windows,"fighting game, massively multiplayer online game, platformer, side-scrolling video game"
Elvira: Mistress of the Dark,1990-01-01,"Atari ST, Commodore 64, DOS",role-playing video game
Emergency Fire Response,2003-07-30,Microsoft Windows,simulation video game
Emil Chronicle Online,2005-11-24,Microsoft Windows,massively multiplayer online role-playing game
Emlyn Hughes International Soccer,1988-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",association football video game
Emperor: Battle for Dune,2001-06-12,Microsoft Windows,"real-time strategy, science fiction video game"
Emperor: Rise of the Middle Kingdom,2002-09-09,"Mac operating system, Microsoft Windows","city-building game, historical video game"
Empire City: 1931,1987-12-15,"MSX, Nintendo Entertainment System, arcade video game",shoot 'em up
Empire Earth,2001-11-12,Microsoft Windows,"real-time strategy, strategy video game"
Empire Earth II,2005-04-26,Microsoft Windows,real-time strategy
Empire Earth III,2007-11-06,Microsoft Windows,real-time strategy
Empire: Total War,2009-03-03,"Microsoft Windows, macOS","real-time strategy, real-time tactics, turn-based strategy video game"
Enchanted,2007-11-13,Nintendo DS,adventure video game
Enclave,2002-07-19,"Microsoft Windows, macOS","action-adventure game, role-playing video game, third-person shooter"
Endless,1985-01-01,Commodore 64,"action game, puzzle video game, shoot 'em up"
Endless Ocean,2007-08-02,Wii,simulation video game
Endless Ocean 2: Adventures of the Deep,2009-09-17,Wii,"adventure video game, simulation video game"
Enemy Territory: Quake Wars,2007-09-28,"Microsoft Windows, PlayStation 3, Xbox One, macOS","action game, first-person shooter, science fiction video game, strategy video game"
Enemy: Tempest of Violence,1997-01-01,Unknown,"action game, action-adventure game"
Energetika,2010-01-01,web browser,business simulation game
English Training: Have Fun Improving Your Skills!,2006-01-26,Nintendo DS,educational video game
Enigma: Rising Tide,2003-08-01,Microsoft Windows,vehicle simulation game
Enslaved: Odyssey to the West,2010-10-05,"Microsoft Windows, PlayStation 3, Xbox One","action-adventure game, post-apocalyptic video game"
Enter the Matrix,2003-05-14,"Microsoft Windows, Nintendo GameCube, PlayStation 4","action game, action-adventure game, beat 'em up, shooter game"
Entropia Universe,2003-01-30,Microsoft Windows,"first-person shooter, massively multiplayer online role-playing game"
Epic Mickey,2010-11-25,Wii,"crossover fiction, platformer, post-apocalyptic video game"
Epic Mickey 2: The Power of Two,2012-11-18,"Microsoft Windows, PlayStation 3, PlayStation Vita, Wii, Wii U, Xbox One","crossover fiction, platformer, post-apocalyptic video game"
Eressea,1996-01-01,cross-platform,turn-based strategy video game
Escape from Monkey Island,2000-11-08,"Classic Mac OS, Microsoft Windows, PlayStation 4, macOS",adventure video game
Escape from the Planet of the Robot Monsters,1989-01-01,"Amstrad CPC, Atari ST, Commodore 64, DOS, SAM Coupé, ZX Spectrum",shooter game
Escape-MCP,1983-01-01,ZX Spectrum,maze video game
Espgaluda II,2005-11-25,"Xbox One, arcade video game, iOS",bullet hell
Esprit,,Atari ST,puzzle video game
Eternal Champions: Challenge from the Dark Side,1995-02-01,Unknown,fighting game
Eternal Darkness: Sanity's Requiem,2002-06-24,Nintendo GameCube,"action-adventure game, psychological horror fiction"
Eternal Eden,2008-12-11,Microsoft Windows,role-playing video game
Eternal Fighter Zero,2000-08-11,Microsoft Windows,"crossover fiction, fighting game"
Eternal Sonata,2007-06-14,"PlayStation 3, Xbox One",role-playing video game
Ethnic Cleansing,2002-01-21,Microsoft Windows,"advergame, first-person shooter"
Europa 1400: The Guild,2002-10-25,Microsoft Windows,life simulation game
Europa Universalis,2000-10-20,Microsoft Windows,"computer wargame, grand strategy wargame, historical video game, real-time strategy"
Europa Universalis II,2001-12-11,"Classic Mac OS, Microsoft Windows, macOS","computer wargame, grand strategy wargame, historical video game, real-time strategy"
Europa Universalis: Rome,2008-04-18,"Microsoft Windows, macOS","grand strategy wargame, historical video game, strategy video game"
Europe Racer,2001-01-01,"Microsoft Windows, PlayStation 2","action game, racing video game"
Ever 17: The Out of Infinity,2002-08-29,"Microsoft Windows, PlayStation 4, Xbox One, iOS","science fiction video game, visual novel"
EverQuest,1999-03-16,"Mac operating system, Microsoft Windows, macOS",massively multiplayer online role-playing game
EverQuest II,2004-11-04,Microsoft Windows,massively multiplayer online role-playing game
Evil Dead: A Fistful of Boomstick,2003-05-20,PlayStation 4,action game
Evil Genius,2004-09-28,Microsoft Windows,"god game, real-time strategy, simulation video game"
Evolution: The World of Sacred Device,1999-01-21,Unknown,"roguelike, role-playing video game"
Evolva,2000-06-01,Microsoft Windows,"action game, action-adventure game, biopunk"
Evony,2009-05-06,Unknown,"fantasy video game, massively multiplayer online real-time strategy game"
Excite Truck,2006-11-19,Wii,"racing video game, stunt racing video game"
Excitebike,1984-11-30,"NEC PC-8800 series, Nintendo Entertainment System, Sharp X1, Wii, Wii U, arcade video game",racing video game
Exile,1988-01-01,"Acorn Electron, Amiga CD32, Atari ST, BBC Micro, Commodore 64",Metroidvania
Exit,2005-12-15,"Nintendo DS, PlayStation Portable","action game, puzzle video game"
Exolon,1987-01-01,"Amstrad CPC, Atari ST, Commodore 64, ZX Spectrum",shoot 'em up
Expensive Planetarium,1962-01-01,PDP-1,simulation video game
Express Raider,1986-01-01,"Amstrad CPC, Commodore 64, ZX Spectrum, arcade video game","beat 'em up, shoot 'em up"
Extreme-G,1997-09-30,Nintendo 64,vehicular combat game
Eye of the Beholder,1990-01-01,"Amiga 1200, Atari Lynx, Commodore 64, DOS, Microsoft Windows, NEC PC-9800 series, PlayStation, Super Nintendo Entertainment System, macOS","action role-playing game, role-playing video game"
Eye of the Beholder II: The Legend of Darkmoon,1991-01-01,"Amiga 1200, DOS, FM Towns, Microsoft Windows, NEC PC-9800 series, macOS","fantasy video game, role-playing video game"
F-1 Hero MD,1992-06-01,"Game Boy, Nintendo Entertainment System, PlayStation",racing video game
F-1 Race,1984-11-02,"Game Boy, Nintendo Entertainment System",racing video game
F-1 World Grand Prix,1998-07-31,"Microsoft Windows, Nintendo 64, PlayStation 2",sim racing
F-1 World Grand Prix II,1999-09-30,Nintendo 64,sim racing
F-15 Strike Eagle,1984-01-01,"Amstrad CPC, Atari ST, Commodore 64, MSX, Nintendo Entertainment System, ZX Spectrum",combat flight simulator game
F-15 Strike Eagle II,1989-01-01,"Atari ST, DOS, PlayStation",combat flight simulator game
F-Zero,1990-11-21,Super Nintendo Entertainment System,futuristic racing game
F-Zero GX,2003-07-25,Nintendo GameCube,racing video game
F-Zero: Maximum Velocity,2001-03-21,Wii U,racing video game
F.E.A.R.,2005-10-18,"Microsoft Windows, PlayStation 3, Xbox One","first-person shooter, psychological horror fiction"
F.E.A.R. 2: Project Origin,2009-02-10,"Microsoft Windows, PlayStation 3, Xbox One","first-person shooter, psychological horror fiction"
F.E.A.R. 3,2011-06-21,"Microsoft Windows, PlayStation 3, Xbox One","first-person shooter, psychological horror fiction"
F/A-18 Interceptor,1988-01-01,Unknown,combat flight simulator game
F1 2001,2001-09-20,"Microsoft Windows, PlayStation 4",sim racing
F1 2002,2002-01-01,"Microsoft Windows, Nintendo GameCube, PlayStation 4",racing video game
F1 2010,2010-09-22,"Microsoft Windows, PlayStation 3, Xbox One",racing video game
F1 2011,2011-09-20,"Microsoft Windows, PlayStation 3, PlayStation Vita, Xbox One, iOS",racing video game
F1 Grand Prix,2005-09-01,PlayStation Portable,racing video game
F1 Manager Professional,1997-01-01,DOS,business simulation game
F1 Tornado,1990-01-01,"Amstrad CPC, Commodore 64, ZX Spectrum",shoot 'em up
FAngband,,Microsoft Windows,roguelike
FIFA 06,2005-09-30,"Java virtual machine, Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 4, PlayStation Portable",association football video game
FIFA 07,2006-09-25,"Microsoft Windows, Nintendo DS, Nintendo GameCube, PlayStation 4, PlayStation Portable, Xbox One",association football video game
FIFA 08,2007-09-27,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One",association football video game
FIFA 09,2008-10-03,"Java virtual machine, Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One",association football video game
FIFA 10,2009-10-01,"Java virtual machine, Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, iOS",association football video game
FIFA 11,2010-09-28,"Java virtual machine, Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, Wii, Xbox One, iOS",association football video game
FIFA 12,2011-09-27,"Microsoft Windows, Nintendo DS, PlayStation 3, PlayStation 4, PlayStation Portable, PlayStation Vita, Wii, Xbox One, iOS",association football video game
FIFA 13,2012-09-25,"Microsoft Windows, Nintendo 3DS, PlayStation 3, PlayStation 4, PlayStation Portable, PlayStation Vita, Wii, Wii U, Xbox One, iOS",association football video game
FIFA 97,1996-01-01,"DOS, Game Boy, Microsoft Windows, PlayStation, PlayStation 2, Super Nintendo Entertainment System",association football video game
FIFA Football 2003,2002-10-25,"Microsoft Windows, Nintendo GameCube, PlayStation 2, PlayStation 4",association football video game
FIFA Football 2004,2003-10-24,"Microsoft Windows, N-Gage, Nintendo GameCube, PlayStation 2, PlayStation 4",association football video game
FIFA Football 2005,2004-10-08,"Microsoft Windows, N-Gage, Nintendo GameCube, PlayStation 2, PlayStation 4, PlayStation Portable",association football video game
FIFA Manager 09,2008-10-30,Microsoft Windows,"association football management game, association football video game"
FIFA Online,2010-05-26,Microsoft Windows,association football video game
FIFA Online 2,2006-01-01,Microsoft Windows,association football video game
FIFA Online 3,2012-12-18,"Microsoft Windows, TGP Box, iOS",association football video game
FIFA: Road to World Cup 98,1997-06-17,"Game Boy, Microsoft Windows, Nintendo 64, PlayStation, PlayStation 2, Super Nintendo Entertainment System",association football video game
FRONT MISSION HISTORY,,PlayStation 2,Unknown
Fable,2007-12-04,"Microsoft Windows, Xbox One, macOS","action game, action role-playing game, fantasy video game, role-playing video game, video game with LGBT character"
